Computer	Share	IsEveryoneAllowed	IsCurrentUserAllowed
BSLITHNMOBAPP1.BSLI.COM	ADMIN$	False	False
BSLITHNMOBAPP1.BSLI.COM	C$	False	False
BSLITHNMOBAPP1.BSLI.COM	E$	False	False
BSLITHNRFTS01.BSLI.COM	ADMIN$	False	False
BSLITHNRFTS01.BSLI.COM	C$	False	False
BSLITHNRFTS01.BSLI.COM	D$	False	False
BSLITHNPEXP01.BSLI.COM	ADMIN$	False	False
BSLITHNPEXP01.BSLI.COM	C$	False	False
BSLITHNPEXP01.BSLI.COM	E$	False	False
BSLITHNMOSSDV01.BSLI.COM	ADMIN$	False	False
BSLITHNMOSSDV01.BSLI.COM	C$	False	False
BSLITHNMOSSDV01.BSLI.COM	E$	False	False
BSLITHNMOSSDV01.BSLI.COM	F$	False	False
BSLITHNMOSSDV01.BSLI.COM	FIM_Log	False	False
BSLITHNMOSSDV01.BSLI.COM	onlineappform	True	True
BSLITHNMOSSDV01.BSLI.COM	SQL	True	True
ABHITCLCCSUAPPS.BSLI.COM	ADMIN$	False	False
ABHITCLCCSUAPPS.BSLI.COM	C$	False	False
ABHITCLCCSUAPPS.BSLI.COM	D$	False	False
ABHITCLUATHI1.BSLI.COM	ADMIN$	False	False
ABHITCLUATHI1.BSLI.COM	C$	False	False
ABHITCLUATHI1.BSLI.COM	D$	False	False
ABFSTHNDC01.BSLI.COM	ADMIN$	False	False
ABFSTHNDC01.BSLI.COM	C$	False	False
ABFSTHNDC01.BSLI.COM	D$	False	False
ABFSTHNDC01.BSLI.COM	NETLOGON	True	True
ABFSTHNDC01.BSLI.COM	SYSVOL	True	True
ABFSTCLSQLCLS02.BSLI.COM	ADMIN$	False	False
ABFSTCLSQLCLS02.BSLI.COM	C$	False	False
BSLITULFINFS01.BSLI.COM	ADMIN$	False	False
BSLITULFINFS01.BSLI.COM	C$	False	False
BSLITULFINFS01.BSLI.COM	E$	False	False
BSLITULFINFS01.BSLI.COM	sql setup2008	True	True
BSLITCLING05.BSLI.COM	ADMIN$	False	False
BSLITCLING05.BSLI.COM	C$	False	False
BSLITCLING05.BSLI.COM	E$	False	False
BSLITULSCR01.BSLI.COM	ADMIN$	False	False
BSLITULSCR01.BSLI.COM	C$	False	False
BSLITULSCR01.BSLI.COM	D$	False	False
BSLITULSCR01.BSLI.COM	E$	False	False
BSLITHNAPP04.BSLI.COM	ADMIN$	False	False
BSLITHNAPP04.BSLI.COM	C$	False	False
BSLITHNAPP04.BSLI.COM	DBBackup	True	True
BSLITHNAPP04.BSLI.COM	DB_BACKUP_10.155.8.8	True	True
BSLITHNAPP04.BSLI.COM	E$	False	False
BSLITHNAPP04.BSLI.COM	print$	True	True
ABFSTCLADFS01.BSLI.COM	ADMIN$	False	False
ABFSTCLADFS01.BSLI.COM	C$	False	False
ABFSTCLADFS01.BSLI.COM	E$	False	False
ABFSTCLADFS01.BSLI.COM	F$	False	False
ABFSTCLADFS01.BSLI.COM	G$	False	False
ABFLTCLEXMS01.BSLI.COM	ADMIN$	False	False
ABFLTCLEXMS01.BSLI.COM	C$	False	False
ABFLTCLEXMS01.BSLI.COM	E$	False	False
BSLITCLAPP09.BSLI.COM	ADMIN$	False	False
BSLITCLAPP09.BSLI.COM	C$	False	False
BSLITCLAPP09.BSLI.COM	D$	False	False
BSLITCLAPP09.BSLI.COM	E$	False	False
BSLITULAPPTST.BSLI.COM	ADMIN$	False	False
BSLITULAPPTST.BSLI.COM	C$	False	False
BSLITULAPPTST.BSLI.COM	D$	False	False
BSLITULAPPTST.BSLI.COM	E$	False	False
BSLITULRWS05.BSLI.COM	ADMIN$	False	False
BSLITULRWS05.BSLI.COM	C$	False	False
BSLITULRWS05.BSLI.COM	D$	False	False
BSLITULRWS05.BSLI.COM	logs	False	False
BSLITULRWS05.BSLI.COM	print$	True	True
ABWCLTCLUSLS.BSLI.COM	ADMIN$	False	False
ABWCLTCLUSLS.BSLI.COM	C$	False	False
ABWCLTCLUSLS.BSLI.COM	D$	False	False
ABWCLTCLUSLS.BSLI.COM	F$	False	False
ABWCLTCLUSLS.BSLI.COM	G$	False	False
ABHITCLBITUAPP.BSLI.COM	ADMIN$	False	False
ABHITCLBITUAPP.BSLI.COM	C$	False	False
ABHITCLBITUAPP.BSLI.COM	D$	False	False
ABHITCLBITUAPP.BSLI.COM	E$	False	False
ABHITCLBITUAPP.BSLI.COM	F$	False	False
ABHITCLBITUAPP.BSLI.COM	ReportDB Backup	True	True
BSLITCLAPP03.BSLI.COM	ADMIN$	False	False
BSLITCLAPP03.BSLI.COM	C$	False	False
BSLITCLAPP03.BSLI.COM	DB_Backup	False	False
BSLITCLAPP03.BSLI.COM	E$	False	False
BSLITCLAPP03.BSLI.COM	ora	False	False
BSLITCLAVDBS01.BSLI.COM	ADMIN$	False	False
BSLITCLAVDBS01.BSLI.COM	C$	False	False
BSLITCLAVDBS01.BSLI.COM	D$	False	False
BSLITCLAVDBS01.BSLI.COM	E$	False	False
BSLITCLAVDBS01.BSLI.COM	print$	True	True
ABFSTCLCRRISK04.BSLI.COM	ADMIN$	False	False
ABFSTCLCRRISK04.BSLI.COM	C$	False	False
ABFSTCLCRRISK04.BSLI.COM	E$	False	False
ABFSTCLCRRISK04.BSLI.COM	F$	False	False
ABFSTCLCRRISK04.BSLI.COM	G$	False	False
ABFSTCLCRRISK03.BSLI.COM	ADMIN$	False	False
ABFSTCLCRRISK03.BSLI.COM	C$	False	False
